Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
36,Travel_Rarely,Sales,5.0,3,Technical Degree,Male,Sales Executive,Single,54050.0,4.0,14,8.0,0,10.0,2.0,8,7,104,0
45,Travel_Rarely,Sales,3.0,3,Life Sciences,Male,Healthcare Representative,Single,60740.0,0.0,14,8.0,0,9.0,2.0,8,3,1,0
51,Travel_Rarely,Sales,23.0,3,Medical,Female,Research Scientist,Married,192720.0,9.0,20,8.0,0,18.0,2.0,10,2,7,1
47,Travel_Rarely,Sales,15.0,4,Marketing,Female,Research Director,Married,65530.0,0.0,15,8.0,0,8.0,2.0,7,7,7,0
34,Travel_Rarely,Research & Development,21.0,3,Medical,Female,Laboratory Technician,Divorced,57704.0,3.0,117,8.0,1,7.0,4.0,0,0,0,0
48,Travel_Frequently,Sales,11.0,2,Marketing,Male,Healthcare Representative,Married,63470.0,2.0,12,8.0,1,19.0,3.0,9,7,7,1
24,Travel_Rarely,Research & Development,6.0,3,Life Sciences,Male,Sales Executive,Married,10520.0,1.0,13,8.0,0,5.0,3.0,5,0,4,0
37,Travel_Rarely,Research & Development,7.0,4,Life Sciences,Male,Sales Executive,Divorced,71430.0,2.0,21,8.0,0,8.0,6.0,1,0,0,0
46,Travel_Rarely,Research & Development,6.0,4,Medical,Male,Sales Executive,Married,21740.0,3.0,11,8.0,1,23.0,3.0,12,4,9,0
45,Travel_Rarely,Research & Development,29.0,3,Life Sciences,Female,Laboratory Technician,Divorced,50670.0,1.0,11,8.0,2,10.0,3.0,10,3,9,0
40,Travel_Rarely,Sales,7.0,3,Life Sciences,Male,Manufacturing Director,Single,104820.0,1.0,110,8.0,1,21.0,6.0,21,12,8,0
36,Travel_Rarely,Sales,6.0,3,Medical,Female,Sales Executive,Married,42000.0,0.0,103,8.0,0,10.0,3.0,9,0,5,0
33,Travel_Rarely,Research & Development,8.0,4,Life Sciences,Male,Laboratory Technician,Divorced,24510.0,1.0,13,8.0,1,9.0,3.0,9,0,8,0
25,Travel_Rarely,Research & Development,2.0,2,Life Sciences,Male,Sales Executive,Married,32120.0,1.0,15,8.0,1,1.0,3.0,1,0,0,1
54,Travel_Rarely,Sales,24.0,3,Marketing,Male,Laboratory Technician,Married,26571.0,3.0,14,8.0,0,36.0,2.8093203883495144,10,4,7,0
42,Travel_Rarely,Research & Development,2.0,3,Life Sciences,Female,Manufacturing Director,Married,106850.0,4.0,11,8.0,3,4.0,2.0,1,0,0,0
45,Travel_Frequently,Research & Development,8.0,4,Life Sciences,Female,Manager,Single,29940.0,4.0,18,8.0,1,12.0,2.0,4,0,3,0
42,Travel_Rarely,Sales,24.0,3,Marketing,Female,Research Scientist,Married,26721.0,0.0,13,8.0,1,21.0,3.0,20,0,9,0
31,Travel_Frequently,Sales,3.0,3,Marketing,Male,Sales Executive,Single,46210.0,2.0,18,8.0,1,9.0,3.0,5,1,4,0
35,Travel_Frequently,Human Resources,9.0,3,Other,Female,Sales Representative,Married,40840.0,4.0,13,8.0,1,5.0,3.0,3,1,2,0
59,Travel_Rarely,Research & Development,17.0,4,Medical,Female,Laboratory Technician,Single,186650.0,3.0,12,8.0,0,30.0,3.0,5,4,3,0
49,Travel_Rarely,Human Resources,6.0,2,Life Sciences,Female,Research Scientist,Married,108261.0,2.0,11,8.0,3,30.0,3.0,15,2,12,0
45,Travel_Rarely,Research & Development,1.0,2,Medical,Female,Sales Executive,Divorced,70830.0,2.0,12,8.0,1,25.0,5.0,1,0,0,0
43,Travel_Frequently,Research & Development,5.0,3,Medical,Female,Laboratory Technician,Married,97549.0,8.0,19,8.0,1,18.0,3.0,8,0,1,0
52,Travel_Rarely,Research & Development,26.0,2,Life Sciences,Female,Sales Representative,Married,33750.0,2.0,21,8.0,0,28.0,2.0,5,0,4,0
35,Travel_Rarely,Research & Development,16.0,4,Medical,Male,Human Resources,Single,95260.0,1.0,15,8.0,0,5.0,2.0,5,0,3,0
40,Travel_Rarely,Research & Development,6.0,2,Medical,Male,Research Scientist,Divorced,43320.0,7.0,14,8.0,2,8.0,3.0,5,1,3,0
32,Travel_Rarely,Sales,4.0,4,Life Sciences,Male,Manufacturing Director,Married,97150.0,1.0,15,8.0,1,10.0,1.0,10,0,9,0
26,Travel_Rarely,Sales,1.0,3,Marketing,Female,Research Scientist,Married,176796.0,1.0,20,8.0,0,8.0,2.0,8,1,3,0
36,Non-Travel,Research & Development,1.0,3,Medical,Male,Sales Representative,Single,34520.0,2.0,13,8.0,3,18.0,4.0,11,0,9,0
25,Travel_Frequently,Sales,6.0,1,Marketing,Male,Manufacturing Director,Divorced,139730.0,1.0,14,8.0,0,7.0,3.0,7,0,7,0
